a 啊 唉 哎
aa 阿 啊 吖 嗄 腌 锕
aaaa 啊啊 啊啊啊
aaba 阿爸
aier 埃尔
aiey 叆
aif 挨 捱
aifa 挨罚
aift 捱
aifu 爱抚 挨
aifw 爱妃
aig 爱国
aigc 哀告
aige 挨个 哀歌
aigh 爱岗
aigo 爱国 爱过 挨过
aih 爱好
aihc 爱好 哀号 哀嚎
aihe 爱河
aihf 爱恨
aiho 爱火
aihu 爱护 挨户
aihx 爱华
aii 哀愁
aiic 爱巢
aiig 爱称 爱城
aiii 爱吃
aiiu 安常处顺
aiiz 哀愁
aij 锿
aijb 挨近
aiji 埃及
aijl 爱将
aijm 爱建
aijn 哀叫
aijq 艾灸
aiju 爱驹 爱车
aijx 爱家 挨家 哀家
aijy 锿
aik 唉 哎 嗳 嗌
aikc 挨靠
aikf 哀恳
aikj 爱看
aikm 嗌
aiku 爱哭 唉
aikx 哎
aiky 嗳
aikz 隘口 碍口
ail 爱怜
ailc 爱乐 哀乐
ailh 爱郎
ailm 爱恋 爱怜 哀怜
ailn 挨了
ailu 隘路
ailv 爱侣
aim 爱慕
aima 挨骂
aimb 爱民
aimk 哀鸣
aimu 爱慕
aimw 暧昧 爱美
ain 嫒
aini 爱你
ainv 爱女
ainy 嫒
aio 暧
aioy 暧
aip 爱
aipb 爱拼
aiph 矮胖
aipi 挨批
aipj 矮胖
aipu 爱普
aipy 爱
aiq 爱情
aiqi 爱妻 哀泣
aiqk 爱情 爱卿
aiql 矮墙 爱墙
aiqp 爱妾 哀切
aiqq 哀求
aiqr 爱犬
aiqx 爱卡
airf 爱人 矮人
airj 蔼然
airs 哀荣
ais 欸
aisi 爱死 哀思
aisr 欸
aisu 哀诉
ait 埃 堨
aita 爱她 爱他
aiti 哀啼
aitj 哀叹
aitk 爱听
aits 哀痛 哀恸
aitu 埃
aitv 堨
aiu 矮 碍 砹 毐
aiuc 碍
aiuf 爱神
aiuh 爱上 哀伤
aiui 碍事 爱是
aiun 矮
aiuw 毐
aiux 砹
aiuz 碍手
aiv 挨着
aive 挨着
aivg 癌症 挨整
aivi 爱之
aivo 爱着 挨着
aivs 癌肿
aiw 哀 瑷
aiwj 爱玩 哀婉
aiwo 爱我
aiwy 瑷 哀
aix 爱心
aixb 爱心
aixi 爱惜
aixk 矮星
aixn 矮小 爱笑
aixy 暗潮汹涌
aiy 霭
aiya 哎呀
aiye 艾叶
aiyi 爱意
aiyj 碍眼 哀艳
aiyo 哎哟 唉哟
aiyr 哀怨
aiys 爱用
aiyt 哀乐 爱说
aiyu 碍于 爱与 爱欲 爱语
aiyv 霭
aiyz 哎呦 矮油
aiz 艾滋
aizd 爱在 哀哉
aizg 爱憎
aizi 矮子 爱子 爱滋
aizu 阿昌族
aizz 挨揍
aj 安静
ajah 挨家挨户
ajcb 挨肩擦背
ajfw 安家费
ajhx 按计划
ajju 安监局
ajl 安静了
ajle 安静了
ajlh 安家落户
ajly 安居乐业
ajmd 阿基米德
ajnf 暗箭难防
ajs 氨基酸
ajsr 氨基酸
ajur 暗箭伤人
ak 拗口
akbk 爱看不看
aklj 奥克兰
aksi 奥克斯
al 按理
alb 阿拉伯
alba 阿鲁巴
albb 阿里巴巴
albg 阿拉伯联合酋长国
albl 爱理不理
albo 阿拉伯
albs 奥林巴斯
albz 阿拉伯数字
ald 阿拉丁
aldk 阿拉丁
aldo 奥兰多
alfp 按劳分配
alh 安理会
alhv 安理会
alks 埃里克森
alpk 奥林匹克
alq 阿联酋
alqi 按劳取酬
alqq 阿联酋
als 安乐死
alsi 爱丽丝 安乐死
alu 按理说
alue 爱丽舍
aluj 阿里山
aluo 按理说
alw 安乐窝
alwo 安乐窝
alxb 爱立信
alyi 安乐椅
alyz 挨了一顿揍
am 暧昧
amag 阿猫阿狗
amah 挨门挨户
amds 哀莫大于心死
amer 埃米尔
amld 鞍马劳顿
amnv 爱莫能助
amqi 按摩器
amrz 爱民如子
amsd 阿姆斯特丹
amtq 澳门特区 澳门特别行政区
amvh 挨门逐户
amvx 爱美之心
amwq 奥妙无穷
amy 安眠药
amyc 安眠药
amz 爱面子
amzi 爱面子
an 安 鞍 氨 俺 按 暗 岸 胺 案 谙 埯 犴 庵 桉 铵 鹌 黯 唵 垵 盦
ana 𩽾
anan 暗暗 安安
anb 案 安
anbc 安保
anbh 安邦
anbj 案板
anbm 岸边 案
anbn 安
anbu 安瓿
anbv 按捺不住
anbw 安倍
anby 懊恼不已
anc 暗藏
anch 暗藏
anci 按此
anco 按错
and 鹌
anda 安达
andc 暗道
ande 安德
andi 暗地 案底 安迪
andj 暗淡 黯淡
andk 安定
andn 鹌
andu 安度 暗度
andw 安得
andy 安顿
ane 岸
aneg 岸
aner 奥尼尔
anf 按
anfa 案发
anff 安分
anfg 暗讽
anfh 安放 安防 暗访 暗房
anfj 案犯
anfn 按
anfu 安抚
ang 庵 鞍
angd 庵
ange 暗格 安格
angh 鞍钢 安钢
angn 鞍
ango 安国
angz 暗沟
anh 黯
anhc 暗号 安好
anhd 暗害
anhe 暗合
anhj 暗含
anhl 暗黄
anho 黯
anhs 暗红
anhv 安徽
anhw 暗黑
anhx 暗花
anhy 安魂
ani 安插
ania 安插
anic 暗潮
anih 暗娼 案场
anil 暗疮
aniu 暗处
aniy 鹌鹑
anj 铵
anjb 按金
anji 氨基 案几 暗疾 按季 安吉
anjk 安静
anjm 案件 安检 按键 暗箭 安监
anjn 暗礁 铵
anjp 按揭 安捷
anjr 案卷
anju 安居
anjx 安家 俺家
ank 唵
ankd 唵 安凯
anke 安可
ankh 安康
ankv 暗亏
ankz 暗扣
anl 安利
anla 安拉
anlc 安乐
anle 安乐
anli 按理 案例 暗里
anlj 安澜
anlk 按铃
anlm 暗恋 谙练
anlq 暗流
anlu 暗绿 安陆
anlv 暗绿
anlw 按类
anm 桉
anma 鞍马 暗码
anmb 安民
anmf 暗门 俺们
anmi 安谧
anmj 安曼
anmm 安眠
anmn 桉
anmo 按摩
anmu 暗牧
anmw 傲睨万物
ann 按钮
anna 按捺
anng 安能
anni 安妮
annj 安南
annk 安宁
annm 按年
anno 安娜
annq 按钮
ano 暗 胺
anon 胺
anoo 暗
anp 安排
anpd 安排
anpj 暗盘
anpk 安平 安瓶
anpu 暗堡 安普
anpw 安培
anq 氨 犴
anqb 安寝
anqg 犴
anqi 按期 暗器 安琪 按其 按揭
anqk 案情 安庆
anqn 氨
anqq 安丘
anqr 安全
anqu 暗渠
anr 俺 盦
anrd 俺
anri 按日
anrj 安然 黯然
anrm 盦
anro 暗弱
anrw 安内攘外
anrz 按揉
ans 暗算
anso 暗锁
ansr 暗算 氨酸
ansu 安娜苏
ant 埯 垵
anta 安踏
antd 安泰 安胎 埯
antg 安腾
antj 暗探 暗滩
antk 安亭
antn 垵
anto 安妥
antz 案头 岸头
anu 按时
anua 暗杀
anuc 暗哨
anud 暗色
anue 安设
anuf 安神 安身
anug 安生
anuh 安上 岸上 暗伤 按上
anui 暗示 暗室 安适 按时
anuj 鞍山
anul 暗爽
anuo 按说
anuu 谙熟
anuv 安睡 氨水
anuy 安顺
anuz 案首 谙熟
anv 安装
anvc 按照
anve 按着
anvf 安贞 安枕
anvi 安置 暗指 案值
anvj 暗战
anvl 安装
anvo 安卓 案桌
anvs 暗中 案中
anvu 按住
anw 安危
anwf 安稳 暗纹
anwo 安卧
anww 安慰 安危
anx 暗箱 安享
anxb 安心 安信
anxi 安息 暗喜 安溪
anxl 安详 暗想 暗香 暗箱 安乡 按响
anxm 安闲 暗线 岸线
anxn 暗笑
anxp 安歇
anxu 按需
anxx 按下 暗下
any 谙
anya 按压
anye 暗夜
anyh 安阳
anyi 安逸
anyk 暗影 安营
anyo 谙
anyr 案源 安源 按原
anyt 按月 暗月
anyu 暗语 暗喻 安于 按语
anyz 案由
anz 暗自
anzd 安在
anzh 安葬 暗藏
anzi 案子 暗紫 暗自
anzo 安坐
ao 奥 凹 敖 熬 翱 袄 傲 懊 澳 坳 拗 嗷 岙 廒 遨 媪 骜 獒 聱 螯 鏊 鳌 鏖 奡 嶅 璈 隩
aoa 嗷嗷 奡
aoal 奡
aoan 傲岸
aoao 嗷嗷
aob 翱
aoba 奥巴
aobc 敖包
aobx 翱
aocc 凹槽
aod 澳
aodc 熬到
aodd 澳
aodi 奥迪
aods 敖东
aoe 隩
aoed 隩
aoer 奥尔
aof 熬 敖 拗 骜 獒 聱 螯 鏊 鳌 嶅
aofa 鳌
aofe 聱 嶅
aofh 熬
aofi 螯
aofj 鏊
aofl 拗
aofm 骜
aofq 獒
aofw 敖
aog 鏖 廒
aoge 奥格
aogj 鏖
aogo 熬过
aogu 傲骨
aogw 廒
aoh 懊悔
aohf 凹痕
aohv 懊悔
aoig 熬成 奥城
aojm 熬煎
aok 嗷
aokw 嗷
aokz 拗口
aol 凹
aola 凹 奥拉
aom 傲慢
aomf 澳门
aomi 奥秘
aomj 傲慢
aomn 奥妙
aomu 奥姆
aomw 奥美
aon 媪
aonc 懊恼
aonm 媪
aop 袄 奥
aopd 奥
aopg 奥鹏
aopu 奥普
aopy 袄
aoqi 傲气
aor 傲
aorf 傲人
aorj 傲然
aorw 傲
aosd 奥赛
aosh 懊丧
aot 坳
aote 奥特
aoth 熬汤
aoti 奥体
aotl 坳
aoto 奥拓
aotu 凹凸
aotz 鳌头
aou 傲视
aouh 熬汤
aoui 傲视 傲世
aouj 奥山
aouo 奥数
aouu 奥数
aov 澳洲
aovi 熬制
aovj 鏖战
aovu 熬煮 奥术
aovz 澳洲 熬粥
aow 璈
aowh 澳网
aowu 傲物
aoww 璈
aox 懊
aoxd 懊
aoxl 翱翔
aoxm 凹陷
aoxt 傲雪
aoxx 凹下
aoy 岙
aoyc 熬药
aoye 熬夜 岙
aoyi 奥义
aoyr 澳元
aoyy 奥运
aoyz 遨游 傲游
aoz 遨
aozw 遨
ap 安排
apcy 爱拼才会赢
aphc 安排好
apld 安贫乐道
apug 爱普生
aq 安全
aqbv 哀其不争
aqdd 安全带
aqdy 安全第一
aqer 安琪儿
aqfa 安全阀
aqg 安全感
aqgj 安全感
aqgr 爱情观
aqh 爱琴海
aqhd 爱琴海
aqj 安全局
aqju 安全局
aqla 安卡拉
aqld 安切洛蒂
aqma 安全码
aqmc 安全帽
aqmh 鞍前马后
aqmu 奥卡姆
aqp 爱情片
aqpm 爱情片
aqqi 安全期
aqqu 安全区
aqrm 爱钱如命
aqso 安全锁
aqtc 安全套
aqui 爱情是
aqxk 安全性
aqyr 安全员
ar 黯然
arpu 安如磐石
art 傲然挺立
artl 傲然挺立
artu 安如泰山
arus 黯然失色
aruu 黯然神伤
arwy 安然无恙
arxh 黯然销魂
aryl 傲然屹立
as 暗算
asbj 阿塞拜疆
asey 埃塞俄比亚
asjm 爱斯基摩
ask 奥斯卡
aska 奥斯卡
asl 奥斯陆
aslu 奥斯陆
aspl 阿司匹林
asqb 暗送秋波
asqx 奥斯卡
aswx 奥斯维辛
at 凹凸
atao 埃托奥
atbp 凹凸不平
atj 凹透镜
atjk 凹透镜
atkq 暗通款曲
atm 奥特曼
atmj 奥特曼
atsj 按图索骥
attx 昂头挺胸
atu 安徒生
atug 安徒生
atvq 安土重迁
atyj 哀痛欲绝
au 按时
auaj 碍手碍脚
aubu 爱说不说
auda 爱仕达
audx 傲霜斗雪
auho 爱生活
aukb 昂首阔步
aulm 安身立命
aum 阿诗玛
auma 阿诗玛
auny 爱沙尼亚
auqx 傲视群雄
aut 昂首挺胸
auta 爱上他
autq 唉声叹气
autx 昂首挺胸
auui 鞍山市
auv 安身之地
auvd 安身之地
auvi 安身之处
auvl 安史之乱
auwo 爱上我
auxu 按顺序
av 按照
avb 安装版
avbc 安装包
avbj 安装版
avew 安枕而卧
avff 安知非福
avms 暗中摸索
avni 爱着你
avpj 安装盘
avrs 安之若素
avwj 安装完
avwy 安枕无忧
avyu 爱之欲其生
aw 安慰
awer 奥威尔
awh 奥委会
awhv 奥委会
awjw 爱屋及乌
awkk 奥委会
awtr 暗无天日
awvi 暗物质
ax 爱惜
axbc 癌细胞
axbx 爱信不信
axcz 暗箱操作
axfp 按需分配
axhp 按下葫芦起来瓢
axjl 爱新觉罗
axri 安息日
axuy 暗香疏影
axym 爱惜羽毛
ay 安逸
aygr 爱一个人
ayh 奥运会
ayhv 奥运会
ayhw 埃因霍温
aykk 奥运会
ayqq 按要求
ayst 爱因斯坦
ayui 安阳市
ayvv 安营扎寨
ayxv 安于现状
ayya 哎呀呀
ayzv 安营扎寨
az 暗自
azb 艾滋病
azbk 艾滋病 爱滋病
azfm 爱憎分明
azji 爱自己
azpc 腌臜泼才
azww 奥组委
b 不 八 吧
ba 把 爸 巴 芭 捌 扒 叭 吧 笆 八 疤 拔 跋 靶 耙 坝 霸 罢 菝 岜 灞 钯 粑 鲅 魃 哱 妭 朳 羓 胈 蚆 鲃 鲌
baa 鲅 鲃 鲌
baab 鲃 鲌
baad 鲅
baai 白皑皑
bab 爸 疤
baba 爸爸 巴巴 粑粑
babb 疤 爸
babc 八宝
babd 八百
babi 芭比
babj 八班
babk 把柄
babn 靶标
babu 八步
bac 芭 菝
bacb 芭
bacc 拔草
bacd 菝
baci 八次
bad 灞
badc 霸道 霸刀 把刀 拔刀
badd 八大
badi 巴蒂
badm 八点
badn 拔掉
bado 灞
bads 巴东
badu 八度
bady 巴顿
badz 巴豆
bae 岜
baeb 岜
bael 北爱尔兰
baer 巴尔 把儿
baf 拔 捌 扒 把
bafb 扒 把
bafd 捌 拔
baff 八分
bafg 把风
bafh 八方
bag 靶 魃
baga 八嘎
bagb 靶
bagc 拔高
bagd 魃
bage 八个 八哥
bagh 八钢
bagl 扒光
bagr 把关
bags 罢工
bagu 八股
bagx 八卦
bah 疤痕
baha 巴哈
bahc 把好 八号
bahe 拔河 巴赫
bahf 疤痕
bahl 八荒
bahu 跋扈
bahx 不安好心 把话
bai 拔出 蚆
baib 蚆
baie 扒车
baig 八成
baih 靶场
baii 把持
bais 八种
baiu 拔出
baj 钯
bajb 钯 巴金
baji 吧唧 靶机 坝基 八级
bajm 拔尖 拔剑
bajn 八角 芭蕉 拔脚
bajp 巴结 拔节 八戒 八届
bajq 把酒 八九
bajt 八角
baju 百安居 把车
bak 吧 叭 哱
bakb 叭 吧
bake 罢课 巴克
baks 把控
baku 巴库
bakz 哱
bal 耙
bala 扒拉 巴拉 疤瘌
balb 巴林 耙
bale 罢了
bali 巴黎 巴厘 巴里 八里
balk 巴陵 八零
balm 把脸
balu 八路
balw 芭蕾
bam 粑 朳
bama 爸妈 巴马
bamb 朳 粑
bamc 拔毛
bamd 把脉
bamf 把门
bamg 巴盟
bamm 罢免
bamo 把脉 八万
bamw 把妹
ban 妭
bana 把那
band 妭
bani 不爱你 把你
banj 巴南
banm 八年
bans 把弄
banv 吧女
bao 胈
baod 胈
bap 八
bapi 扒皮
bapn 八
bapo 八婆
baq 霸权
baqi 霸气 八旗
baql 八强
baqm 八千 把钱
baqn 巴乔 灞桥
baqq 把球
baqr 霸权
baqu 宝安区 拔取
baqy 拔群
barf 巴人 把人
bari 八日
bas 罢 巴
basa 巴萨
basd 罢赛
basi 巴斯
basl 巴
bass 罢
basv 八岁
bat 坝
bata 把他 把它 把她 吧嗒
batd 吧台
bate 巴特
bati 坝体
batm 八天 霸天
batr 坝
batv 拔腿
batz 把头
bau 把守
baue 跋涉
bauf 拔身
bauh 坝上
baui 八十 巴士 把式
bauj 巴山
bauu 巴蜀 把书
bauv 把水
bauz 把手 把守
bav 巴 笆
bavb 笆
bave 八折
bavh 巴掌
bavj 霸占 把盏
bavs 巴中
bavu 霸主 吧主
bavv 巴
bavw 把这
bavz 巴州 霸州
baw 把玩
bawf 把稳
bawh 霸王
bawj 八万 把玩
bawo 把握 不爱我 把我
baww 八位
bax 把戏
baxb 靶心 把心
baxi 巴西 把戏
baxl 八项
baxm 八仙
baxq 罢休
baxx 拔下
baxy 八旬
bay 霸 羓
baya 拔牙
bayb 羓
baye 霸业
bayi 八一 巴以 吧椅
bayk 拔营
bayo 霸
bayt 八月
bayu 不安于室
bayz 吧友
baz 跋
bazd 跋
bazi 八字 靶子 坝子 把子
bazu 保安族
bb 滨 彬 斌 濒 宾 摈 傧 豳 豳 缤 玢 槟 殡 膑 镔 髌 鬓 邠
bba 鬓
bbab 鬓
bbb 宾 并不比 邠
bbbb 宾 彬彬
bbbd 不比不知道
bbbe 邠
bbbi 并不比
bbbk 不卑不亢
bbcu 百弊丛生
bbd 濒 滨 殡
bbdb 殡 滨
bbdc 办不到
bbde 巴不得
bbdi 薄薄的 不变的 白白的
bbdn 百般刁难
bbdo 并不多
bbdr 濒
bbds 巴巴多斯
bbdv 不必当真
bbdw 巴不得 宾得
bbdy 逼不得已
bbe 豳
bber 宝贝儿
bbeu 豳
bbf 摈
bbfa 鬓发 本办法
bbfb 摈
bbff 缤纷 本本分分
bbfu 宾服
bbg 髌
bbgb 髌
bbgc 步步高
bbgo 宾果
bbgr 宾馆
bbh 滨海
bbhc 版本号
bbhd 滨海
bbhe 滨河
bbhj 不包含 瀑布汗
bbi 办不成
bbig 办不成 滨城
bbiy 百步穿杨
bbj 镔
bbjb 镔
bbjl 变本加厉 滨江
bbjn 鬓角
bbjt 鬓角
bbju 比比皆是
bbjx 步步惊心
bbk 不包括
bbke 宾客
bbkk 并不会
bbko 不包括
bbku 必不可少
bbl 八百里
bblb 濒临
bbli 宾利
bbll 斑驳陆离
bblm 殡殓
bblx 便把令来行 半部论语治天下
bbly 巴比伦
bbm 彬 槟
bbmb 槟
bbmc 鬓毛
bbmf 本部门
bbmh 帮帮忙
bbmm 爸爸妈妈
bbmp 彬
bbng 并不能
bbnj 并不难
bbnw 败不馁
bbo 膑
bbob 膑
bbp 宾朋
bbpg 宾朋
bbpp 白白胖胖
bbq 北半球
bbqi 摈弃
bbqq 北半球
bbr 傧
bbrb 傧
bbrd 兵败如山倒
bbrl 鞭辟入里
bbs 缤
bbsb 缤
bbsi 濒死
bbt 棒棒糖
bbth 棒棒糖 棒棒堂
bbtm 半边天
bbtt 蹦蹦跳跳
bbu 并不是 豳
bbuh 比不上
bbui 并不是 百八十
bbuj 背背山 八宝山
bbum 帮不上忙 不辨菽麦
bbuu 并不是说 豳
bbv 八宝粥
bbvd 并不知道
bbvg 不保证
bbvh 部部长
bbvj 八拜之交
bbvu 宾主 憋不住 秉笔直书
bbvw 不辨真伪
bbvy 不白之冤
bbvz 八宝粥 滨州 宾州
bbw 斌 玢
bbwd 玢
bbwj 北部湾
bbwn 被逼无奈
bbwv 斌
bbww 濒危
bbwx 白璧微瑕 白璧无瑕
bbwy 步步为营
bbxl 百宝箱 并不像 傧相
bbxm 宾县
bbxr 兵不血刃
bbxy 并不需要 本报讯
bby 不必要
bbyc 不必要
bbyd 并不一定
bbyh 北冰洋 宾阳
bbyl 彬彬有礼
bbyu 宾语 濒于
bbyv 兵不厌诈
bbyy 巴布亚新几内亚
bbz 半辈子
bbzh 殡葬
bbzi 半辈子
bbzy 不必在意
bc 报 宝 苞 胞 包 褒 剥 薄 雹 保 堡 饱 抱 暴 豹 鲍 爆 刨 炮 曝 瀑 葆 孢 煲 鸨 褓 趵 龅 枹
bca 鲍
bcaa 不错啊
bcan 保安 宝安 报案
bcas 鲍
bcb 包 鸨 宝 刨
bcbc 宝宝 包包 饱饱 抱抱
bcbd 刨
bcbf 保本
bcbi 包庇 暴毙
bcbj 包办 报班
bcbk 刨冰 暴兵 暴病 抱病
bcbm 褒贬
bcbn 报表 保镖 鸨
bcbo 胞波
bcbs 包
bcbu 瀑布
bcbw 宝贝 鲍勃 报备
bcby 宝
bcc 薄 苞 葆
bccc 薄
bccd 包菜
bcch 爆仓
bccj 饱餐
bccm 葆
bcco 报错
bccs 苞
bccu 爆粗
bccy 保存
bcd 瀑
bcda 报答 暴打
bcdc 报道 报到 宝岛 宝刀 报导
bcdd 包袋
bcdi 宝地 胞弟 保底
bcdj 保单 报单
bcdk 保定 抱定
bcdm 宝典
bcdp 暴跌
bcdr 报端
bcds 暴动
bcdu 报毒 爆肚 饱读 报读 瀑
bce 报恩 剥
bceb 不辞而别
bced 剥
bcee 保额
bcen 报恩
bcer 宝儿 保尔
bcf 抱 报
bcfa 爆发 暴发
bcfg 暴风 宝丰 包缝
bcfh 包房
bcfj 报贩
bcfs 抱
bcfu 报复 包袱 暴富 抱负
bcfw 报废 保费
bcfy 不测风云 报
bcg 报告
bcgc 报告
bcgd 宝盖
bcge 饱嗝 报个
bcgh 宝钢 包钢
bcgj 包干
bcgl 曝光 暴光 宝光
bcgm 本草纲目
bcgo 包裹 报国
bcgr 保管 包管 报馆 报关
bcgs 包公 包工 报功
bcgu 包谷
bcgv 宝贵
bch 爆 炮
bchc 宝号 包好 报号
bche 饱和 宝盒
bchf 抱恨
bchh 暴行
bchj 包含 暴汗 暴寒 包涵 饱含 抱憾 保函
bchl 保皇
bchr 包换
bchs 炮
bchu 保护 饱和 保户 爆
bchx 包藏祸心
bci 报仇
bcia 宝刹
bcic 爆炒 暴炒 包抄
bcid 宝钗
bcie 包车
bcig 报称
bcih 包场 饱尝 报偿
bcii 保持 宝坻
bcij 包产
bciu 爆出 报出
bciy 报春
bciz 报酬
bcj 宝剑
bcjb 抱紧 报禁
bcjd 不存芥蒂
bcji 宝鸡 暴击 爆击 爆机 包机 包给 保级
bcjk 报警 包茎 饱经
bcjl 褒奖
bcjm 保健 宝鉴 宝剑 包间 报检 报建 保荐
bcjn 包教
bcjp 保洁 宝洁 报界 报捷 报价 保价
bcju 保举 包车
bcjx 报价 保甲 保驾 保家
bcjy 暴君
bck 包括
bckc 报考
bckd 爆开
bcke 剥壳
bckh 保康
bckj 报刊
bcko 包括
bckr 病从口入 病从口入，祸从口出
bcks 暴恐
bcku 宝库
bckv 抱愧
bcl 不错了
bcld 宝来
bcle 报了
bclg 爆冷
bcli 暴力 暴利 暴戾 包里 保利
bclj 包揽 宝蓝 饱览 报栏
bclk 不辞劳苦
bcll 保量
bcln 爆料 报料
bclo 包罗 保罗
bclp 爆裂 暴烈
bclq 保留
bclr 暴乱
bclu 暴露
bclw 堡垒 暴雷
bcm 报幕 枹
bcma 宝马
bcmb 百辞莫辩 暴民
bcmi 保密 苞米
bcmj 饱满 爆满
bcmk 报名 保命
bcmn 保苗
bcmo 薄膜 包膜
bcms 枹
bcmu 保姆 报幕
bcmw 胞妹 保媒
bcn 保暖
bcnm 包年
bcnr 保暖 饱暖
bcnt 暴虐
bcnu 暴怒
bco 暴 胞 曝
bcos 胞
bcou 曝 暴
bcp 褓
bcpg 爆棚
bcpi 报批 包皮
bcpj 报盘
bcpm 褓
bcpn 包票
bcpo 爆破
bcpw 包赔
bcq 抱歉
bcqi 抱起 暴起 宝器 包起
bcqk 报请
bcql 暴强
bcqm 抱歉
bcqq 报仇
bcqr 保全
bcqu 抱屈
bcr 保 堡 煲
bcre 暴热
bcrf 保人
bcrh 煲
bcrj 爆燃
bcrm 保
bcrs 包容
bcrt 堡
bcs 报送
bcsh 报丧
bcsi 暴死
bcss 报送 保送
bct 煲汤
bcta 宝塔
bctd 爆胎 胞胎 保胎
bcth 煲汤
bctj 报摊
bctk 报亭
bctn 暴跳
bctr 抱团 报团
bctu 暴徒 暴突 宝图
bctv 包退
bctz 包头 报头 抱头
bcu 饱
bcua 宝刹
bcud 暴晒
bcue 报社
bcuf 报审 包身 保身
bcuh 报上 包商 保墒 煲汤 褒赏
bcui 宝石 报时 报失 保湿 保释
bcuj 宝山 保山
bcuo 报数
bcuq 抱残守缺
bcus 饱
bcuu 报数
bcuv 报税 保税
bcuz 保守 饱受 报收
bcv 豹 龅
bcva 爆炸
bcvd 剥
bcve 抱着
bcvf 抱枕 保真
bcvg 保证 暴政 包拯
bcvh 保障 暴涨 报账 报章 保长
bcvi 报纸 包治 保值
bcvj 报站 饱蘸
bcvl 包装 悲从中来
bcvo 包着 抱着
bcvs 保重 包中 龅
bcvu 抱住 爆竹 宝珠 包住 保住 豹
bcvv 博采众长
bcvy 保准 博采众议
bcvz 煲粥
bcw 褒
bcwd 保外
bcwf 保温 豹纹 报文
